k,OA,Kappa
1,0.3946883468834688,0.30288239219803814
2,0.37907859078590783,0.294269111200963
3,0.3381029810298103,0.2653411025727176
4,0.33506775067750677,0.26466949667536266
5,0.33723577235772356,0.26619020992890285
6,0.335609756097561,0.2647821440186334
7,0.39631436314363144,0.30399218017833707
8,0.33723577235772356,0.2637569932391505
9,0.3991327913279133,0.3090568134853531
10,0.4088888888888889,0.3172494051575435
11,0.3962059620596206,0.3051297505620919
12,0.3920867208672087,0.30124291555852545
13,0.34168021680216804,0.2671397098335845
14,0.39588075880758805,0.30500185128980806
